label,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
17,Winter,2011,January,0,no,Sunday,no,Few Clouds,0.46,0.4545,0.88,0.2985
17,Winter,2011,January,1,no,Sunday,no,Few Clouds,0.44,0.4394,0.94,0.2537
9,Winter,2011,January,2,no,Sunday,no,Few Clouds,0.42,0.4242,1,0.2836
6,Winter,2011,January,3,no,Sunday,no,Few Clouds,0.46,0.4545,0.94,0.194
3,Winter,2011,January,4,no,Sunday,no,Few Clouds,0.46,0.4545,0.94,0.194
2,Winter,2011,January,6,no,Sunday,no,Partly Cloudy,0.42,0.4242,0.77,0.2985
1,Winter,2011,January,7,no,Sunday,no,Few Clouds,0.4,0.4091,0.76,0.194
8,Winter,2011,January,8,no,Sunday,no,Partly Cloudy,0.4,0.4091,0.71,0.2239
20,Winter,2011,January,9,no,Sunday,no,Few Clouds,0.38,0.3939,0.76,0.2239
53,Winter,2011,January,10,no,Sunday,no,Few Clouds,0.36,0.3485,0.81,0.2239
70,Winter,2011,January,11,no,Sunday,no,Few Clouds,0.36,0.3333,0.71,0.2537
93,Winter,2011,January,12,no,Sunday,no,Few Clouds,0.36,0.3333,0.66,0.2985
75,Winter,2011,January,13,no,Sunday,no,Few Clouds,0.36,0.3485,0.66,0.1343
59,Winter,2011,January,14,no,Sunday,no,Partly Cloudy,0.36,0.3485,0.76,0.194
74,Winter,2011,January,15,no,Sunday,no,Partly Cloudy,0.34,0.3333,0.81,0.1642
76,Winter,2011,January,16,no,Sunday,no,Partly Cloudy,0.34,0.3333,0.71,0.1642
65,Winter,2011,January,17,no,Sunday,no,Clear,0.34,0.3333,0.57,0.194
53,Winter,2011,January,18,no,Sunday,no,Few Clouds,0.36,0.3333,0.46,0.3284
30,Winter,2011,January,19,no,Sunday,no,Clear,0.32,0.2879,0.42,0.4478
22,Winter,2011,January,20,no,Sunday,no,Clear,0.3,0.2727,0.39,0.3582
31,Winter,2011,January,21,no,Sunday,no,Clear,0.26,0.2273,0.44,0.3284
9,Winter,2011,January,22,no,Sunday,no,Clear,0.24,0.2121,0.44,0.2985
8,Winter,2011,January,23,no,Sunday,no,Clear,0.22,0.2273,0.47,0.1642
5,Winter,2011,January,0,no,Monday,yes,Clear,0.22,0.197,0.44,0.3582
2,Winter,2011,January,1,no,Monday,yes,Clear,0.2,0.1667,0.44,0.4179
1,Winter,2011,January,4,no,Monday,yes,Clear,0.16,0.1364,0.47,0.3881
3,Winter,2011,January,5,no,Monday,yes,Clear,0.16,0.1364,0.47,0.2836
30,Winter,2011,January,6,no,Monday,yes,Clear,0.14,0.1061,0.5,0.3881
64,Winter,2011,January,7,no,Monday,yes,Clear,0.14,0.1364,0.5,0.194
154,Winter,2011,January,8,no,Monday,yes,Clear,0.14,0.1212,0.5,0.2836
88,Winter,2011,January,9,no,Monday,yes,Clear,0.16,0.1364,0.43,0.3881
44,Winter,2011,January,10,no,Monday,yes,Clear,0.18,0.1667,0.43,0.2537
51,Winter,2011,January,11,no,Monday,yes,Clear,0.2,0.1818,0.4,0.3284
61,Winter,2011,January,12,no,Monday,yes,Clear,0.22,0.2121,0.35,0.2985
61,Winter,2011,January,13,no,Monday,yes,Clear,0.24,0.2121,0.35,0.2836
77,Winter,2011,January,14,no,Monday,yes,Clear,0.26,0.2424,0.3,0.2836
72,Winter,2011,January,15,no,Monday,yes,Clear,0.26,0.2424,0.3,0.2537
76,Winter,2011,January,16,no,Monday,yes,Clear,0.26,0.2424,0.3,0.2537
157,Winter,2011,January,17,no,Monday,yes,Clear,0.24,0.2273,0.3,0.2239
157,Winter,2011,January,18,no,Monday,yes,Clear,0.24,0.2576,0.32,0.1045
110,Winter,2011,January,19,no,Monday,yes,Clear,0.2,0.2576,0.47,0
52,Winter,2011,January,20,no,Monday,yes,Clear,0.2,0.2273,0.47,0.1045
52,Winter,2011,January,21,no,Monday,yes,Clear,0.18,0.197,0.64,0.1343
20,Winter,2011,January,22,no,Monday,yes,Clear,0.14,0.1515,0.69,0.1343
12,Winter,2011,January,23,no,Monday,yes,Clear,0.18,0.2121,0.55,0.1045
5,Winter,2011,January,0,no,Tuesday,yes,Clear,0.16,0.1818,0.55,0.1045
2,Winter,2011,January,1,no,Tuesday,yes,Clear,0.16,0.1818,0.59,0.1045
1,Winter,2011,January,2,no,Tuesday,yes,Clear,0.14,0.1515,0.63,0.1343
2,Winter,2011,January,4,no,Tuesday,yes,Clear,0.14,0.1818,0.63,0.0896
4,Winter,2011,January,5,no,Tuesday,yes,Clear,0.12,0.1515,0.68,0.1045
36,Winter,2011,January,6,no,Tuesday,yes,Clear,0.12,0.1515,0.74,0.1045
94,Winter,2011,January,7,no,Tuesday,yes,Clear,0.12,0.1515,0.74,0.1343
179,Winter,2011,January,8,no,Tuesday,yes,Clear,0.14,0.1515,0.69,0.1642
100,Winter,2011,January,9,no,Tuesday,yes,Clear,0.16,0.1515,0.64,0.2239
42,Winter,2011,January,10,no,Tuesday,yes,Few Clouds,0.16,0.1364,0.69,0.3284
57,Winter,2011,January,11,no,Tuesday,yes,Clear,0.22,0.2121,0.51,0.2985
78,Winter,2011,January,12,no,Tuesday,yes,Clear,0.22,0.2273,0.51,0.1642
97,Winter,2011,January,13,no,Tuesday,yes,Clear,0.24,0.2273,0.56,0.194
63,Winter,2011,January,14,no,Tuesday,yes,Clear,0.26,0.2576,0.52,0.2239
65,Winter,2011,January,15,no,Tuesday,yes,Clear,0.28,0.2727,0.52,0.2537
83,Winter,2011,January,16,no,Tuesday,yes,Clear,0.3,0.2879,0.49,0.2537
212,Winter,2011,January,17,no,Tuesday,yes,Clear,0.28,0.2727,0.48,0.2239
182,Winter,2011,January,18,no,Tuesday,yes,Clear,0.26,0.2576,0.48,0.194
112,Winter,2011,January,19,no,Tuesday,yes,Clear,0.24,0.2576,0.48,0.1045
54,Winter,2011,January,20,no,Tuesday,yes,Clear,0.24,0.2576,0.48,0.1045
48,Winter,2011,January,21,no,Tuesday,yes,Clear,0.22,0.2727,0.64,0
35,Winter,2011,January,22,no,Tuesday,yes,Clear,0.22,0.2576,0.64,0.0896
11,Winter,2011,January,23,no,Tuesday,yes,Clear,0.2,0.2273,0.69,0.0896
6,Winter,2011,January,0,no,Wednesday,yes,Clear,0.2,0.2576,0.64,0
6,Winter,2011,January,1,no,Wednesday,yes,Clear,0.16,0.197,0.74,0.0896
2,Winter,2011,January,2,no,Wednesday,yes,Clear,0.16,0.197,0.74,0.0896
2,Winter,2011,January,4,no,Wednesday,yes,Clear,0.24,0.2273,0.48,0.2239
3,Winter,2011,January,5,no,Wednesday,yes,Clear,0.22,0.2273,0.47,0.1642
33,Winter,2011,January,6,no,Wednesday,yes,Clear,0.2,0.197,0.47,0.2239
88,Winter,2011,January,7,no,Wednesday,yes,Clear,0.18,0.1818,0.43,0.194
195,Winter,2011,January,8,no,Wednesday,yes,Clear,0.2,0.1818,0.4,0.2985
115,Winter,2011,January,9,no,Wednesday,yes,Clear,0.22,0.197,0.37,0.3284
57,Winter,2011,January,10,no,Wednesday,yes,Clear,0.22,0.197,0.37,0.3284
46,Winter,2011,January,11,no,Wednesday,yes,Clear,0.26,0.2273,0.33,0.3284
79,Winter,2011,January,12,no,Wednesday,yes,Clear,0.26,0.2273,0.33,0.3284
71,Winter,2011,January,13,no,Wednesday,yes,Clear,0.28,0.2576,0.3,0.2985
62,Winter,2011,January,14,no,Wednesday,yes,Clear,0.3,0.2879,0.28,0.194
62,Winter,2011,January,15,no,Wednesday,yes,Clear,0.3,0.2879,0.28,0.194
89,Winter,2011,January,16,no,Wednesday,yes,Clear,0.3,0.3182,0.28,0.0896
190,Winter,2011,January,17,no,Wednesday,yes,Clear,0.24,0.2273,0.38,0.194
169,Winter,2011,January,18,no,Wednesday,yes,Clear,0.24,0.2424,0.38,0.1343
132,Winter,2011,January,19,no,Wednesday,yes,Clear,0.24,0.2576,0.38,0.1045
89,Winter,2011,January,20,no,Wednesday,yes,Clear,0.22,0.2273,0.47,0.1642
43,Winter,2011,January,21,no,Wednesday,yes,Clear,0.2,0.197,0.51,0.194
42,Winter,2011,January,22,no,Wednesday,yes,Clear,0.18,0.197,0.55,0.1343
19,Winter,2011,January,23,no,Wednesday,yes,Clear,0.2,0.2576,0.47,0
11,Winter,2011,January,0,no,Thursday,yes,Clear,0.18,0.2424,0.55,0
4,Winter,2011,January,1,no,Thursday,yes,Clear,0.16,0.2273,0.64,0
2,Winter,2011,January,2,no,Thursday,yes,Clear,0.16,0.2273,0.64,0
1,Winter,2011,January,4,no,Thursday,yes,Few Clouds,0.16,0.197,0.64,0.0896
4,Winter,2011,January,5,no,Thursday,yes,Few Clouds,0.14,0.1818,0.69,0.0896
36,Winter,2011,January,6,no,Thursday,yes,Few Clouds,0.14,0.1667,0.63,0.1045
95,Winter,2011,January,7,no,Thursday,yes,Few Clouds,0.16,0.2273,0.59,0
219,Winter,2011,January,8,no,Thursday,yes,Clear,0.16,0.2273,0.59,0
122,Winter,2011,January,9,no,Thursday,yes,Few Clouds,0.18,0.2424,0.51,0
45,Winter,2011,January,10,no,Thursday,yes,Clear,0.2,0.2576,0.47,0
59,Winter,2011,January,11,no,Thursday,yes,Clear,0.22,0.2576,0.44,0.0896
84,Winter,2011,January,12,no,Thursday,yes,Clear,0.26,0.2879,0.35,0
67,Winter,2011,January,13,no,Thursday,yes,Clear,0.26,0.2727,0.35,0.1045
70,Winter,2011,January,14,no,Thursday,yes,Clear,0.28,0.2727,0.36,0.1642
62,Winter,2011,January,15,no,Thursday,yes,Clear,0.28,0.2727,0.36,0
86,Winter,2011,January,16,no,Thursday,yes,Clear,0.26,0.2576,0.38,0.1642
172,Winter,2011,January,17,no,Thursday,yes,Clear,0.22,0.2273,0.51,0.1642
163,Winter,2011,January,18,no,Thursday,yes,Clear,0.22,0.2273,0.51,0.1343
112,Winter,2011,January,19,no,Thursday,yes,Clear,0.22,0.2576,0.55,0.0896
69,Winter,2011,January,20,no,Thursday,yes,Clear,0.2,0.2121,0.51,0.1642
48,Winter,2011,January,21,no,Thursday,yes,Few Clouds,0.22,0.2121,0.55,0.2239
52,Winter,2011,January,22,no,Thursday,yes,Few Clouds,0.22,0.2121,0.51,0.2836
23,Winter,2011,January,23,no,Thursday,yes,Few Clouds,0.2,0.197,0.59,0.194
17,Winter,2011,January,0,no,Friday,yes,Few Clouds,0.2,0.197,0.64,0.194
7,Winter,2011,January,1,no,Friday,yes,Few Clouds,0.2,0.197,0.69,0.2239
1,Winter,2011,January,2,no,Friday,yes,Few Clouds,0.2,0.197,0.69,0.2239
1,Winter,2011,January,4,no,Friday,yes,Few Clouds,0.2,0.2121,0.69,0.1343
5,Winter,2011,January,5,no,Friday,yes,Partly Cloudy,0.22,0.2727,0.55,0
34,Winter,2011,January,6,no,Friday,yes,Few Clouds,0.2,0.2576,0.69,0
84,Winter,2011,January,7,no,Friday,yes,Clear,0.2,0.2121,0.69,0.1343
210,Winter,2011,January,8,no,Friday,yes,Clear,0.2,0.197,0.51,0.2537
134,Winter,2011,January,9,no,Friday,yes,Clear,0.2,0.1818,0.47,0.2985
63,Winter,2011,January,10,no,Friday,yes,Clear,0.22,0.197,0.37,0.3284
67,Winter,2011,January,11,no,Friday,yes,Few Clouds,0.2,0.197,0.4,0.2239
59,Winter,2011,January,12,no,Friday,yes,Few Clouds,0.2,0.197,0.37,0.2537
73,Winter,2011,January,13,no,Friday,yes,Few Clouds,0.2,0.1818,0.37,0.2836
50,Winter,2011,January,14,no,Friday,yes,Few Clouds,0.2,0.197,0.4,0.2537
72,Winter,2011,January,15,no,Friday,yes,Few Clouds,0.2,0.2121,0.37,0.1642
87,Winter,2011,January,16,no,Friday,yes,Few Clouds,0.2,0.2121,0.37,0.1642
187,Winter,2011,January,17,no,Friday,yes,Few Clouds,0.2,0.2576,0.37,0
123,Winter,2011,January,18,no,Friday,yes,Clear,0.2,0.2273,0.4,0.0896
95,Winter,2011,January,19,no,Friday,yes,Clear,0.16,0.197,0.55,0.0896
51,Winter,2011,January,20,no,Friday,yes,Clear,0.18,0.2121,0.47,0.1045
39,Winter,2011,January,21,no,Friday,yes,Clear,0.18,0.197,0.47,0.1343
36,Winter,2011,January,22,no,Friday,yes,Few Clouds,0.18,0.197,0.43,0.1642
15,Winter,2011,January,23,no,Friday,yes,Few Clouds,0.18,0.197,0.51,0.1642
25,Winter,2011,January,0,no,Saturday,no,Few Clouds,0.18,0.197,0.51,0.1642
16,Winter,2011,January,1,no,Saturday,no,Few Clouds,0.18,0.2121,0.55,0.0896
16,Winter,2011,January,2,no,Saturday,no,Few Clouds,0.18,0.2424,0.55,0
7,Winter,2011,January,3,no,Saturday,no,Partly Cloudy,0.18,0.197,0.55,0.1642
1,Winter,2011,January,4,no,Saturday,no,Partly Cloudy,0.18,0.197,0.55,0.1642
5,Winter,2011,January,5,no,Saturday,no,Few Clouds,0.16,0.1667,0.74,0.1642
2,Winter,2011,January,6,no,Saturday,no,Few Clouds,0.16,0.1667,0.74,0.1642
9,Winter,2011,January,7,no,Saturday,no,Few Clouds,0.16,0.1818,0.74,0.1045
15,Winter,2011,January,8,no,Saturday,no,Partly Cloudy,0.16,0.1818,0.93,0.1045
20,Winter,2011,January,9,no,Saturday,no,Partly Cloudy,0.16,0.1818,0.93,0.1045
61,Winter,2011,January,10,no,Saturday,no,Few Clouds,0.18,0.197,0.8,0.1642
62,Winter,2011,January,11,no,Saturday,no,Few Clouds,0.2,0.1818,0.69,0.3881
98,Winter,2011,January,12,no,Saturday,no,Few Clouds,0.2,0.1818,0.59,0.3582
102,Winter,2011,January,13,no,Saturday,no,Clear,0.2,0.1818,0.44,0.3284
95,Winter,2011,January,14,no,Saturday,no,Clear,0.2,0.1667,0.32,0.4925
74,Winter,2011,January,15,no,Saturday,no,Clear,0.2,0.1667,0.32,0.4478
76,Winter,2011,January,16,no,Saturday,no,Clear,0.18,0.1364,0.29,0.4478
69,Winter,2011,January,17,no,Saturday,no,Clear,0.16,0.1212,0.37,0.5522
55,Winter,2011,January,18,no,Saturday,no,Clear,0.14,0.1212,0.39,0.2985
30,Winter,2011,January,19,no,Saturday,no,Clear,0.14,0.1212,0.36,0.2537
28,Winter,2011,January,20,no,Saturday,no,Clear,0.12,0.1212,0.36,0.2537
37,Winter,2011,January,21,no,Saturday,no,Clear,0.12,0.1061,0.39,0.3582
34,Winter,2011,January,22,no,Saturday,no,Clear,0.12,0.1061,0.36,0.3881
22,Winter,2011,January,23,no,Saturday,no,Clear,0.1,0.0606,0.39,0.4478
25,Winter,2011,January,0,no,Sunday,no,Clear,0.1,0.0758,0.42,0.3881
12,Winter,2011,January,1,no,Sunday,no,Clear,0.1,0.0606,0.42,0.4627
11,Winter,2011,January,2,no,Sunday,no,Clear,0.1,0.0606,0.46,0.4627
4,Winter,2011,January,3,no,Sunday,no,Clear,0.1,0.0758,0.46,0.4179
1,Winter,2011,January,4,no,Sunday,no,Clear,0.08,0.0909,0.53,0.194
1,Winter,2011,January,5,no,Sunday,no,Clear,0.08,0.0909,0.53,0.194
1,Winter,2011,January,6,no,Sunday,no,Clear,0.1,0.0909,0.49,0.2836
6,Winter,2011,January,7,no,Sunday,no,Clear,0.08,0.0909,0.53,0.194
10,Winter,2011,January,8,no,Sunday,no,Clear,0.1,0.0909,0.49,0.2836
19,Winter,2011,January,9,no,Sunday,no,Clear,0.12,0.0758,0.46,0.5224
49,Winter,2011,January,10,no,Sunday,no,Clear,0.14,0.1061,0.43,0.3881
49,Winter,2011,January,11,no,Sunday,no,Clear,0.16,0.1212,0.4,0.5224
83,Winter,2011,January,12,no,Sunday,no,Clear,0.18,0.1364,0.37,0.4478
75,Winter,2011,January,13,no,Sunday,no,Clear,0.2,0.1667,0.34,0.4478
72,Winter,2011,January,14,no,Sunday,no,Clear,0.22,0.1818,0.32,0.4627
82,Winter,2011,January,15,no,Sunday,no,Clear,0.22,0.197,0.35,0.3582
92,Winter,2011,January,16,no,Sunday,no,Clear,0.2,0.1667,0.34,0.4478
62,Winter,2011,January,17,no,Sunday,no,Clear,0.18,0.1515,0.37,0.3881
48,Winter,2011,January,18,no,Sunday,no,Clear,0.16,0.1364,0.4,0.3284
41,Winter,2011,January,19,no,Sunday,no,Clear,0.16,0.1364,0.43,0.3284
38,Winter,2011,January,20,no,Sunday,no,Clear,0.14,0.1212,0.46,0.2537
20,Winter,2011,January,21,no,Sunday,no,Clear,0.14,0.1061,0.46,0.4179
15,Winter,2011,January,22,no,Sunday,no,Clear,0.14,0.1212,0.46,0.2985
6,Winter,2011,January,23,no,Sunday,no,Clear,0.12,0.1364,0.5,0.194
5,Winter,2011,January,0,no,Monday,yes,Clear,0.12,0.1212,0.5,0.2836
1,Winter,2011,January,1,no,Monday,yes,Clear,0.12,0.1212,0.5,0.2836
3,Winter,2011,January,2,no,Monday,yes,Clear,0.12,0.1212,0.5,0.2239
1,Winter,2011,January,3,no,Monday,yes,Clear,0.12,0.1212,0.5,0.2239
3,Winter,2011,January,4,no,Monday,yes,Clear,0.1,0.1212,0.54,0.1343
3,Winter,2011,January,5,no,Monday,yes,Clear,0.1,0.1061,0.54,0.2537
31,Winter,2011,January,6,no,Monday,yes,Clear,0.12,0.1212,0.5,0.2836
77,Winter,2011,January,7,no,Monday,yes,Clear,0.12,0.1212,0.5,0.2239
188,Winter,2011,January,8,no,Monday,yes,Few Clouds,0.12,0.1212,0.5,0.2836
94,Winter,2011,January,9,no,Monday,yes,Few Clouds,0.14,0.1212,0.5,0.2537
31,Winter,2011,January,10,no,Monday,yes,Few Clouds,0.14,0.1212,0.5,0.2985
30,Winter,2011,January,11,no,Monday,yes,Few Clouds,0.16,0.1364,0.47,0.2836
52,Winter,2011,January,12,no,Monday,yes,Few Clouds,0.2,0.1818,0.4,0.2836
54,Winter,2011,January,13,no,Monday,yes,Few Clouds,0.2,0.1818,0.4,0.2836
47,Winter,2011,January,14,no,Monday,yes,Few Clouds,0.2,0.197,0.4,0.2239
45,Winter,2011,January,15,no,Monday,yes,Few Clouds,0.2,0.197,0.4,0.2239
74,Winter,2011,January,16,no,Monday,yes,Clear,0.2,0.2121,0.4,0.1343
178,Winter,2011,January,17,no,Monday,yes,Clear,0.2,0.2273,0.4,0.1045
155,Winter,2011,January,18,no,Monday,yes,Clear,0.2,0.197,0.4,0.2239
95,Winter,2011,January,19,no,Monday,yes,Clear,0.16,0.1667,0.47,0.1642
74,Winter,2011,January,20,no,Monday,yes,Clear,0.16,0.1667,0.5,0.1642
38,Winter,2011,January,21,no,Monday,yes,Clear,0.14,0.1364,0.59,0.194
24,Winter,2011,January,22,no,Monday,yes,Clear,0.14,0.1515,0.59,0.1642
18,Winter,2011,January,23,no,Monday,yes,Clear,0.14,0.1515,0.59,0.1642
12,Winter,2011,January,0,no,Tuesday,yes,Clear,0.14,0.1667,0.59,0.1045
3,Winter,2011,January,1,no,Tuesday,yes,Clear,0.14,0.1515,0.59,0.1642
3,Winter,2011,January,2,no,Tuesday,yes,Few Clouds,0.16,0.1515,0.55,0.194
6,Winter,2011,January,5,no,Tuesday,yes,Few Clouds,0.16,0.1818,0.55,0.1343
27,Winter,2011,January,6,no,Tuesday,yes,Few Clouds,0.16,0.1818,0.55,0.1343
99,Winter,2011,January,7,no,Tuesday,yes,Few Clouds,0.16,0.2273,0.55,0
217,Winter,2011,January,8,no,Tuesday,yes,Few Clouds,0.18,0.2121,0.51,0.0896
130,Winter,2011,January,9,no,Tuesday,yes,Few Clouds,0.18,0.197,0.51,0.1642
54,Winter,2011,January,10,no,Tuesday,yes,Few Clouds,0.2,0.2121,0.51,0.1642
35,Winter,2011,January,11,no,Tuesday,yes,Few Clouds,0.2,0.2121,0.47,0.1343
57,Winter,2011,January,12,no,Tuesday,yes,Few Clouds,0.2,0.2273,0.51,0.1045
52,Winter,2011,January,13,no,Tuesday,yes,Few Clouds,0.2,0.2273,0.59,0.0896
63,Winter,2011,January,14,no,Tuesday,yes,Few Clouds,0.2,0.2273,0.59,0.0896
47,Winter,2011,January,15,no,Tuesday,yes,Few Clouds,0.16,0.197,0.8,0.0896
76,Winter,2011,January,16,no,Tuesday,yes,Few Clouds,0.16,0.1515,0.86,0.2239
136,Winter,2011,January,17,no,Tuesday,yes,Few Clouds,0.16,0.1515,0.86,0.2239
95,Winter,2011,January,18,no,Tuesday,yes,Partly Cloudy,0.16,0.1818,0.93,0.1045
51,Winter,2011,January,19,no,Tuesday,yes,Partly Cloudy,0.16,0.2273,0.93,0
32,Winter,2011,January,20,no,Tuesday,yes,Partly Cloudy,0.16,0.1515,0.93,0.194
20,Winter,2011,January,21,no,Tuesday,yes,Partly Cloudy,0.16,0.197,0.86,0.0896
29,Winter,2011,January,22,no,Tuesday,yes,Partly Cloudy,0.16,0.1818,0.93,0.1045
19,Winter,2011,January,23,no,Tuesday,yes,Partly Cloudy,0.16,0.197,0.93,0.0896
7,Winter,2011,January,0,no,Wednesday,yes,Few Clouds,0.16,0.197,0.86,0.0896
6,Winter,2011,January,1,no,Wednesday,yes,Few Clouds,0.16,0.1818,0.86,0.1045
1,Winter,2011,January,2,no,Wednesday,yes,Clear,0.14,0.1515,0.86,0.1343
5,Winter,2011,January,5,no,Wednesday,yes,Clear,0.14,0.1515,0.86,0.1642
16,Winter,2011,January,6,no,Wednesday,yes,Clear,0.12,0.1515,0.93,0.1343
54,Winter,2011,January,7,no,Wednesday,yes,Clear,0.14,0.1515,0.69,0.1343
128,Winter,2011,January,8,no,Wednesday,yes,Clear,0.16,0.1667,0.59,0.1642
81,Winter,2011,January,9,no,Wednesday,yes,Clear,0.16,0.1364,0.59,0.3284
39,Winter,2011,January,10,no,Wednesday,yes,Clear,0.18,0.1818,0.55,0.2239
35,Winter,2011,January,11,no,Wednesday,yes,Clear,0.2,0.1818,0.51,0.3881
55,Winter,2011,January,12,no,Wednesday,yes,Clear,0.2,0.1515,0.47,0.5821
49,Winter,2011,January,13,no,Wednesday,yes,Clear,0.22,0.197,0.44,0.3582
44,Winter,2011,January,14,no,Wednesday,yes,Clear,0.2,0.1818,0.47,0.3284
49,Winter,2011,January,15,no,Wednesday,yes,Clear,0.2,0.1667,0.47,0.4179
68,Winter,2011,January,16,no,Wednesday,yes,Clear,0.22,0.197,0.44,0.3284
139,Winter,2011,January,17,no,Wednesday,yes,Clear,0.2,0.1818,0.47,0.3582
137,Winter,2011,January,18,no,Wednesday,yes,Clear,0.2,0.1515,0.47,0.5224
83,Winter,2011,January,19,no,Wednesday,yes,Clear,0.18,0.1515,0.47,0.4179
56,Winter,2011,January,20,no,Wednesday,yes,Clear,0.16,0.1364,0.5,0.3284
57,Winter,2011,January,21,no,Wednesday,yes,Clear,0.16,0.1364,0.55,0.3284
33,Winter,2011,January,22,no,Wednesday,yes,Clear,0.16,0.1212,0.55,0.4478
20,Winter,2011,January,23,no,Wednesday,yes,Clear,0.14,0.1061,0.59,0.4179
7,Winter,2011,January,0,no,Thursday,yes,Clear,0.14,0.1212,0.59,0.2836
2,Winter,2011,January,1,no,Thursday,yes,Clear,0.14,0.1212,0.5,0.2836
2,Winter,2011,January,2,no,Thursday,yes,Clear,0.14,0.1212,0.5,0.3582
3,Winter,2011,January,3,no,Thursday,yes,Clear,0.14,0.1212,0.5,0.3284
4,Winter,2011,January,4,no,Thursday,yes,Clear,0.14,0.1212,0.5,0.2537
3,Winter,2011,January,5,no,Thursday,yes,Clear,0.14,0.1212,0.5,0.2985
28,Winter,2011,January,6,no,Thursday,yes,Clear,0.12,0.1515,0.54,0.1343
72,Winter,2011,January,7,no,Thursday,yes,Clear,0.12,0.1515,0.54,0.1343
202,Winter,2011,January,8,no,Thursday,yes,Clear,0.14,0.1364,0.5,0.194
139,Winter,2011,January,9,no,Thursday,yes,Clear,0.14,0.1212,0.5,0.3284
38,Winter,2011,January,10,no,Thursday,yes,Few Clouds,0.16,0.1364,0.5,0.3582
37,Winter,2011,January,11,no,Thursday,yes,Few Clouds,0.2,0.1667,0.44,0.4478
52,Winter,2011,January,12,no,Thursday,yes,Clear,0.2,0.1667,0.44,0.4179
83,Winter,2011,January,13,no,Thursday,yes,Clear,0.22,0.197,0.41,0.4478
42,Winter,2011,January,14,no,Thursday,yes,Clear,0.22,0.197,0.41,0.3881
60,Winter,2011,January,15,no,Thursday,yes,Clear,0.24,0.2121,0.38,0.2985
78,Winter,2011,January,16,no,Thursday,yes,Clear,0.24,0.2121,0.38,0.3582
162,Winter,2011,January,17,no,Thursday,yes,Clear,0.2,0.1818,0.4,0.2836
144,Winter,2011,January,18,no,Thursday,yes,Clear,0.2,0.1818,0.4,0.3284
99,Winter,2011,January,19,no,Thursday,yes,Clear,0.16,0.1515,0.47,0.2537
64,Winter,2011,January,20,no,Thursday,yes,Clear,0.16,0.1515,0.47,0.2239
40,Winter,2011,January,21,no,Thursday,yes,Clear,0.14,0.1212,0.46,0.2985
30,Winter,2011,January,22,no,Thursday,yes,Clear,0.14,0.1212,0.46,0.3284
15,Winter,2011,January,23,no,Thursday,yes,Clear,0.12,0.1364,0.5,0.194
14,Winter,2011,January,0,no,Friday,yes,Clear,0.12,0.1364,0.5,0.194
5,Winter,2011,January,1,no,Friday,yes,Clear,0.1,0.1212,0.54,0.1642
1,Winter,2011,January,2,no,Friday,yes,Clear,0.1,0.1212,0.54,0.1343
1,Winter,2011,January,3,no,Friday,yes,Clear,0.1,0.1364,0.54,0.1045
8,Winter,2011,January,5,no,Friday,yes,Clear,0.1,0.1364,0.54,0.0896
